event_id,start_sample,end_sample,duration_sec,start_time_min,kmeans_cluster,dbscan_cluster,is_anomaly,anomaly_score,pca_1,pca_2,pca_3,peak_acceleration,rms_acceleration,energy,dominant_freq,spectral_centroid
14,47273,47587,3.14,7.878833333333334,4,-1,0,-0.39227572855944914,-1.0997885177474391,1.274894512812103,0.0,2.9441817116762716,1.0623846045214491,354.3995690481975,1.2820512820512822,20.302023624042427
15,51253,51409,1.56,8.542166666666667,4,-1,0,-0.4027387207059466,-2.585702427003389,1.486596797111895,0.0,2.0607689273577847,0.6967418063274717,75.73006657077704,1.2987012987012987,21.140716154712578
16,57843,59692,18.49,9.6405,2,-1,1,-0.6325735187089718,10.733795276664331,3.1745165510310596,0.0,19.942347401825156,2.01779602115151,7528.204947720526,1.3001083423618636,16.9093379730972
17,60604,60872,2.68,10.100666666666665,4,-1,0,-0.41018397515648114,-2.181353207500501,0.37786055847937794,0.0,2.912427194606006,0.7386795379713395,146.2335192311038,1.5037593984962405,19.972303896727578
18,61096,61240,1.44,10.182666666666668,3,-1,0,-0.4371640436967902,-1.3416616464036595,-4.171889903501845,0.0,2.492431336784918,0.9228945149845079,122.64973715354259,2.816901408450704,14.246702412712276
19,61691,61823,1.32,10.281833333333333,4,-1,0,-0.4460906539065678,-2.6965907176645607,-0.5708850342526582,0.0,1.8468821479121802,0.7372746469028122,71.75175545546796,1.5384615384615385,17.351218794576482
20,66905,67130,2.25,11.150833333333333,4,-1,0,-0.38102477068788865,-2.109167919159513,2.064551407727894,0.0,2.6363188065942507,0.6907221641713513,107.34684931744991,1.3513513513513513,20.786279158064023
21,69207,69435,2.28,11.534500000000001,4,-1,0,-0.37553550916032524,-2.180990483748111,2.587419956184445,0.0,2.585763749634145,0.7376397419867105,124.05762468247434,1.3274336283185841,21.781835585173667
22,69691,70446,7.55,11.615166666666665,4,-1,0,-0.3765746349333712,-1.4160634743451441,1.2322568162795662,0.0,2.585763749634145,0.7578499384984153,433.6240796079491,1.3297872340425532,19.739524264502737
23,70622,70800,1.78,11.770333333333333,5,-1,0,-0.397939849230532,-1.872761378964251,2.1574698425207135,0.0,2.749095472120507,0.8256120031634891,121.331061998638,16.47727272727273,19.114517515964152
